,logC_diff,logE-logC,logD-logC
0,,-0.793374059698027,-3.0391689458555646
1,0.011511097326453168,-0.7353016203139786,-3.113448733530446
2,-0.0016298310372597768,-0.7486793889073518,-3.0641606516587503
3,0.014082832818282931,-0.7454729995616853,-3.035465536339049
4,0.0077163702309386295,-0.8308115867701575,-3.049099827137862
5,0.006054093189980847,-0.8719247289191712,-3.0499017719515376
6,-0.003989896831669171,-0.853518720262306,-3.052179585977327
7,0.008686148877474764,-0.9149740759894085,-3.0194635565384162
8,0.012885669030771929,-0.8401619235217552,-2.9195431351964443
9,0.016541964855830926,-0.7978002324457814,-2.931353000764555
10,0.010255403124677542,-0.7518576331153701,-2.8799541075366486
11,-0.004625707125758716,-0.718356016230878,-2.8490515268606
12,0.019910834194117655,-0.7549245402561882,-3.030905887732257
13,-0.0002485820381821213,-0.7401593625569998,-3.0047278364625685
14,0.01779427277932122,-0.744588743907661,-3.0295366954156
15,0.004195264775066043,-0.7440919821751937,-3.037658630417299
16,0.005084680186353552,-0.8020509829599005,-3.106351132113649
17,0.020239785083781214,-0.8306012025268377,-3.061582778017546
18,0.013749633557953445,-0.8311221881031692,-3.0957880462349214
19,0.011538357018854306,-0.8223411284133357,-3.095777731692964
20,0.0031715955947246854,-0.8214444815608699,-3.1460806674315105
21,0.010340440156526576,-0.8479714878966789,-3.0716756508674656
22,0.0001031661963191155,-0.8805065313838574,-3.0912032703087684
23,-0.004246069636719696,-0.9703579531444309,-3.1106622402279687
24,0.006488127782634301,-0.9377754453533198,-3.065219582628271
25,0.006079331535604027,-0.9383240529583361,-3.1352983487264865
26,0.014701158174561968,-0.9252637519431559,-3.1023275229614935
27,0.01248276416709615,-0.8974222475697724,-3.0953947680971794
28,0.009710093747061777,-0.8340835211910456,-3.053918555983582
29,0.008660120223447976,-0.8263474802436557,-3.0546430195079584
30,0.006777985708728451,-0.8336426641379946,-3.007719507918119
31,0.018644657530740183,-0.842678914530909,-3.017838627661064
32,0.007912057358727687,-0.8758221566896163,-3.0096090306549517
33,0.0017824347364392423,-0.8808982979383577,-3.0188802282145266
34,0.00380836189868905,-0.8872417265188473,-3.034333557250803
35,0.009144807153407264,-0.8891208265222277,-3.013861725118507
36,0.001921049132599606,-0.8866467333057377,-3.0260234793324408
